B,P,C,X,N,Time
5,1,1,0,1,10.220858
5,1,5,0,1,10.219871
5,5,1,0,1,2.072324
5,5,5,0,1,2.074165
10,1,1,0,1,10.228896
10,1,5,0,1,10.231759
10,1,10,0,1,10.219560
10,5,1,0,1,2.069956
10,5,5,0,1,2.070895
10,5,10,0,1,2.075289
10,10,1,0,1,1.056614
10,10,5,0,1,1.057237
10,10,10,0,1,1.060350
5,1,1,200,1,10.416421
5,1,5,200,1,10.433545
5,5,1,200,1,10.239618
5,5,5,200,1,4.069034
10,1,1,200,1,10.419156
10,1,5,200,1,10.409764
10,1,10,200,1,10.421353
10,5,1,200,1,10.238553
10,5,5,200,1,2.271409
10,5,10,200,1,2.273230
10,10,1,200,1,10.239265
10,10,5,200,1,2.252906
10,10,10,200,1,2.054677
5,1,1,400,1,20.237821
5,1,5,400,1,10.605053
5,5,1,400,1,20.238842
5,5,5,400,1,6.070296
10,1,1,400,1,20.237587
10,1,5,400,1,10.603941
10,1,10,400,1,10.615079
10,5,1,400,1,20.239281
10,5,5,400,1,4.235696
10,5,10,400,1,3.258877
10,10,1,400,1,20.238855
10,10,5,400,1,4.235058
10,10,10,400,1,3.054512
